"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Car,Car SUV,1990,65,0.005,22.5,16.9,21.5,18.8,3518,,209,146,10.9,0.714,0.0415,39.6,,,,,100.0%,35.1%,1.8%,63.0%,,,5.1%,,63.3%,31.6%,,,,,41.2%,58.8%,
Car,Car SUV,1991,224,0.018,21.8,16.4,20.5,18.2,3733,,215,145,11.8,0.680,0.0385,40.7,,,,,100.0%,22.2%,0.1%,77.7%,,,0.8%,,49.3%,49.9%,,,,,20.9%,79.1%,
Car,Car SUV,1992,243,0.020,21.4,16.1,20.1,17.8,3713,,210,153,11.1,0.734,0.0409,39.9,,,,,100.0%,24.6%,,75.4%,,,1.2%,,68.4%,30.3%,,,,,19.9%,80.1%,
Car,Car SUV,1993,473,0.036,20.4,15.0,19.6,17.0,3848,,238,179,9.5,0.757,0.0462,39.5,,,,,100.0%,10.9%,,89.1%,,,0.7%,,90.6%,8.7%,,,,,10.2%,89.8%,
Car,Car SUV,1994,332,0.023,21.8,16.1,20.5,18.0,3735,,209,163,9.9,0.791,0.0434,40.6,,,2.6%,,97.4%,21.5%,7.6%,70.9%,,,,,92.1%,7.9%,,11.5%,,,18.7%,81.3%,
Car,Car SUV,1995,220,0.015,21.5,15.7,20.5,17.8,3763,,214,165,10.2,0.783,0.0436,40.6,,,0.1%,,99.9%,17.4%,,82.6%,,,,,90.8%,9.2%,,19.1%,,,11.5%,88.5%,
Car,Car SUV,1996,287,0.022,22.4,16.2,21.1,18.4,3710,,215,167,10.3,0.802,0.0448,41.7,,,6.3%,,93.7%,15.4%,,84.6%,,,,,100.0%,,,32.4%,,,14.4%,85.6%,
Car,Car SUV,1997,361,0.025,23.5,17.1,21.7,19.2,3549,,190,159,10.4,0.875,0.0446,41.9,,,20.3%,,79.7%,23.2%,6.1%,70.7%,,,,,100.0%,,,54.6%,,,41.3%,58.7%,
Car,Car SUV,1998,454,0.031,22.3,16.0,20.8,18.2,3824,,218,168,10.6,0.802,0.0439,42.8,,,10.3%,,89.7%,11.1%,,88.9%,,,,,100.0%,,,29.2%,,,18.4%,81.6%,
Car,Car SUV,1999,488,0.032,22.7,16.3,21.0,18.5,3831,,211,170,10.5,0.846,0.0442,43.7,,,15.4%,,84.6%,8.4%,,91.6%,,,,,100.0%,,,38.4%,4.6%,,13.5%,85.6%,0.9%
Car,Car SUV,2000,617,0.037,22.0,15.7,20.3,17.9,3870,,211,174,10.0,0.857,0.0448,42.8,,,12.7%,,87.3%,5.7%,,94.3%,,,,,100.0%,,,34.0%,5.0%,,21.2%,78.1%,0.6%
Car,Car SUV,2001,743,0.048,23.3,16.4,21.4,18.8,3765,,194,180,9.6,0.961,0.0477,44.2,,,37.1%,,62.9%,6.2%,,93.8%,,,,,100.0%,,,43.1%,10.0%,,18.7%,75.3%,6.0%
Car,Car SUV,2002,602,0.037,24.0,16.7,22.0,19.3,3747,,183,179,9.8,1.003,0.0479,45.3,,,55.5%,,44.5%,7.5%,,92.4%,0.1%,,,,100.0%,,,70.3%,18.3%,,18.3%,75.4%,6.4%
Car,Car SUV,2003,575,0.036,24.8,17.2,22.7,19.9,3716,,181,181,9.5,1.014,0.0486,46.4,,,65.9%,,34.1%,7.2%,,84.4%,8.5%,,,,100.0%,,,68.1%,19.6%,,10.0%,83.4%,6.6%
Car,Car SUV,2004,639,0.041,24.9,17.0,23.1,20.0,3854,,191,198,9.2,1.039,0.0511,48.2,,,72.9%,3.4%,23.7%,5.8%,,87.9%,6.3%,,,,100.0%,,,75.5%,37.9%,,7.0%,78.4%,14.6%
Car,Car SUV,2005,813,0.051,25.4,17.3,23.2,20.2,3848,,186,192,9.3,1.040,0.0498,49.0,,,74.0%,14.5%,11.5%,3.7%,,91.9%,4.5%,,,,100.0%,,,67.5%,27.3%,0.5%,5.0%,58.8%,36.2%
Car,Car SUV,2006,751,0.050,25.7,17.5,23.5,20.5,3876,,184,192,9.4,1.051,0.0493,50.0,,,77.7%,8.6%,13.7%,3.1%,,91.7%,5.2%,,,,100.0%,,,86.8%,33.4%,1.1%,,65.8%,34.2%
Car,Car SUV,2007,919,0.060,25.9,17.6,23.8,20.6,3935,,185,208,9.1,1.127,0.0524,51.2,,,85.4%,4.7%,10.0%,1.6%,,94.5%,3.9%,,,,100.0%,,,82.7%,46.8%,1.6%,0.2%,66.3%,33.4%
Car,Car SUV,2008,924,0.066,26.6,18.1,24.4,21.2,3902,,179,204,9.2,1.141,0.0518,52.4,,,87.0%,5.3%,7.6%,0.7%,,93.6%,5.7%,,,2.2%,97.8%,,,89.6%,56.4%,2.3%,,72.8%,27.2%
Car,Car SUV,2009,608,0.065,27.8,18.8,25.3,22.0,3846,,175,206,8.7,1.174,0.0534,53.9,,,92.2%,2.8%,5.0%,0.6%,,85.9%,13.5%,,,1.3%,98.7%,,,94.1%,73.7%,2.7%,,75.2%,24.8%
Car,Car SUV,2010,915,0.082,29.1,19.6,26.5,23.0,3949,,172,213,8.7,1.240,0.0538,57.8,,,88.4%,8.9%,2.8%,0.2%,,91.5%,8.3%,,,26.2%,73.8%,,,100.0%,99.9%,1.4%,,58.9%,41.1%
Car,Car SUV,2011,1207,0.100,29.9,20.0,27.4,23.7,3890,,166,207,8.8,1.243,0.0530,58.4,,,88.8%,9.7%,1.5%,0.5%,,91.5%,8.0%,,,27.6%,72.4%,,,100.0%,99.8%,0.6%,,43.6%,38.1%
